ଘୋ,17
ଂ,1
ତ୍ରିୟ,1
ଘୃ,1
ଘୁ,16
ଘେ,4
ଅମ୍,1
ନ୍ଦି,70
ନ୍ଦା,20
ଦ୍ଦେ,2
ମୟି,1
ଳ୍ପେ,1
ସାୟ,6
ଭୀ,73
କ୍ସା,1
ଢ,3
ଝି,24
ଝା,15
ଷ୍ଠା,425
ସ୍କୁ,61
ଲ,576
ସ୍ଵୟଂ,1
କ୍ରୀ,14
କ୍ରୁ,1
ଜନ୍,1
କ୍ରୋ,2
ଶ୍ଲେ,1
ଜ୍ଜୟି,1
ତ୍ତ,84
ସାଂ,7
ଙ୍କ,1201
ଙ୍ଗ,145
କ୍ରା,12
ଙ୍ଘ,4
ମ୍ନା,2
ର୍ଦେ,2
ଝୁ,3
ବ୍ଧି,1
ର୍କ୍ସ,1
ର୍ତ୍ତ,19
ଝୋ,2
ଣ୍ଢା,1
ୢ,1
ନ୍ଦୋ,35
ଲ୍ୟାୟ,1
ନ୍ଦେ,2
ରିଂ,8
ଦ୍ଦି,1
ଫୋନ୍,1
ନ୍ଦୁ,34
ନ୍ଦୀ,75
ଜ୍ଜ୍ଵ,4
ଘା,9
ଙ୍ଗ୍ରେ,1
ନ୍ମେ,1
ଘ୍ର,4
ଜ଼,1
ମୟୂ,1
ଚ୍ୟ,1
ଫୁ,31
ନ୍ୟ,133
ଫେ,65
ର୍କ,33
ତ୍ନ,6
ବୟା,2
ତ୍ପ,2
ରାଂ,1
ତ୍ବ,2
ଲ୍ୟ,25
ତ୍ମ,27
ତ୍ଯ,1
ତ୍ର,469
ଣ୍ଡାୟ,3
ଶ୍ଵା,66
ଶ୍ଵି,1
ସା,1511
ତ୍ଵ,21
ଜ୍ଞ,7
ତ୍କା,10
ଠ୍ୟ,5
ଝ,23
ଦ୍ରା,12
ଜୟୀ,2
ଈଁ,1
ଞ୍ଚି,11
ଞ୍ଚା,13
ସଂ,253
ଧ୍ବ,2
ଭ,548
ଘୂ,1
ଦୟ,20
ଦୀ,287
ଦୁ,107
ଦୂ,33
ଦୃ,41
ଜୋ,8
ତ୍କ,74
ଲିମ୍,3
ଦେ,580
ମ୍ମ,5
ମ୍ବ,78
ମ୍ଭ,75
ମ୍ପ,70
ଜ୍ଵ,2
ମ୍ନ,7
ନ୍ଧ୍ୟ,1
ନ୍ଟ,1
ବିୟୋ,6
ଭିଲ୍,2
ପ୍ଟେ,7
ଷ୍ଠୀ,6
୍,1
ଲ୍ଟ,1
ଦା,1432
ଆୟ,5
କଶ୍,2
ରାୟ,431
ଜ୍ୟ,111
ଢ଼,1
ର୍ଶି,4
ନ୍ୟାୟ,3
ସୋ,24
ଦ୍ରୁ,3
ନ୍ସ,105
ତ୍କୃ,2
ସୌ,65
ସୂ,289
ସୃ,21
ସୀ,115
ସୁ,256
ସେ,733
ଦ୍ରୌ,1
ନ୍ମ,196
ଲ୍ଡ,4
ନ୍ନ,194
ସୟ,2
ନ୍ତ,605
ନ୍ଥ,31
ନ୍ଦ,350
ନ୍ଧ,57
ଫି,21
ଫା,64
ତ୍ୟ,649
ଦାନ୍,1
ହ୍ୟୁ,1
ର୍ଭୁ,6
ଡିୟ,3
ଜୟ,151
ଛୟା,1
ତ୍ସ୍ନା,2
ଌ,1
ନାୟ,259
ବୀୟ,1
ଜେ,223
ସ୍ରୋ,2
ଯୌ,3
ଜୀ,316
ସ୍ଵ,77
ଚୈ,7
ଡ଼,273
ଜୈ,6
ଡା,161
ଜ୍ୟୈ,1
ଡଃ,6
ଦ୍ୟୁ,4
ମ୍ବୋ,4
ମ୍ପ୍ର,5
ନୋ,257
ଦ୍ୟୋ,5
ତାୟ,2
ଚୋ,11
ବ,2983
ମ୍ବୁ,5
ମ୍ବୀ,4
ଢ଼ି,20
ଢ଼ା,14
ଧ୍ଵ,2
ମା,1188
ମି,488
ବେଶ୍,11
଼,1
ଦାୟୀ,40
ମୈ,2
ମୋ,208
ଘୀୟ,1
ନୌ,8
ଚ୍ଛ୍ଵା,1
ମୀ,126
ମୁ,196
ମୂ,52
ମୃ,91
ୌ,1
ନ୍ସି,3
ମେ,242
ମ୍ବି,12
ମ୍ବା,25
ଢ଼,9
ଚୂ,2
ମୟ,107
ପଂ,3
ତ୍ନି,1
ତ୍ନା,5
ଦ୍ୟା,142
ଡ଼,1
ଡୁ,3
ଡୀ,1
ଡେ,148
ସ୍ରା,2
ଜା,369
ଜି,423
ଡୋ,6
ଡି଼,5
ସ୍ତ,105
ଏଂ,3
ଏଁ,25
ଧାୟ,6
ବେଲ୍,1
ସ୍ନେ,1
ଲ୍ଡେ,1
ଭୟା,3
ଲ୍ହା,2
ୟେ,1
ଜିଦ୍,2
ହ୍ୟା,1
ସ୍ତି,6
ଟ୍ରେ,2
ଯୋ,296
ଇ,1670
ଖ୍ଯ,1
ଯେ,61
ଷ୍ଟ୍ରେ,1
ଯୁ,552
ୂ,1
ଗ,2001
ଷ୍ଟ୍ର,24
ର୍ତ୍ତୋ,1
କ୍ୟା,5
ଧ,369
ଜ୍ୟି,2
ଭ୍ର,18
ହ୍ୟ,6
ପୌ,16
ନ୍ଦ୍ରିୟ,1
ପ୍ରୋ,1
ନ୍ନି,1
ଷ,290
ପୋ,33
ପ୍ରେ,49
ଚେତ୍,1
ଲିଂ,2
ପେ,170
ପୀ,107
ପୁ,649
ପୂ,78
ପୃ,390
ପ୍ରି,4
ପ୍ରା,104
ଭ୍ୟ,17
ପି,238
ହ୍ଵ,1
େ,1
ର୍ଯ଼୍ୟ,2
ଦୀୟ,3
ଅଁ,1
ଧ୍ରୁ,2
ସ୍ଵେ,4
ଚ୍ୟା,1
ର୍ଯା,55
ଷ୍ଟି,31
ୗ,1
ର୍ଭ,8
ହ୍ନ,13
ମ୍ବ୍ରି,1
